created	kind	type	title	id
2022-09-13	work	pptx	레벨 테스트 기획	1-JBIW3okxvAlDLbCfxuxHw_10eRivWZi
2022-09-19	work	pptx	프로젝트T_45도 이상의 경사 지형에 대한 PC 반응	1H3eb2u5ODkTX_D8iJneEDLuaP57agmDq
2022-09-02	work	slides	[왕좌의 게임][손석완]플레이 소감문	1gFHXU8aCdjLJHaLCSuhgmBGluGZnsinhTUw_w5IYiOE
2022-09-28	work	docx	개인 서버 띄우기 및 csv 생성	1-NC_e1UXa3q4cJOwT3qwBjtlVh4x8rkT
2022-10-11	report	docx	입사 4~6주차 수행 업무_손석완	1rclrwXnUoS_Yc3V1bzBofDNIDXPftG3Q
2022-10-17	work	xlsx	레벨 기믹을 위한 트리거 시스템 정리	1-XuSA_kihpb3EBYyQGR-tV0HvHzXNPpX
2022-10-26	work	pptx	프로젝트T_기억의 제단_그리핀 던전123124123541	1-uIpagJj93DgLMPfDFGfYj54HdX37HI5
2022-10-26	work	xlsx	스프린트 일정	1-vw0_QpHHA6wI6rsCet2DhYFvowV_x3_
2022-10-27	report	docx	입사 7~9주차 수행 업무_손석완	1AV3F9VddBw4N7ho3Fqn5p5scgw6UKbif
2022-11-02	work	docx	드레드포트 트리트먼트 리뷰	100rIfIX1dsbxDOzdefZ9sKozJjGMykoo
2022-11-03	work	pptx	스케치북 002	103W2DCnYoKuWWjy3dH4DxrLK9SkEySel
2022-11-10	work	pptx	프로젝트T_기억의 제단_그리핀 던전_동영상지워질까 빽업	10X4oRGE3uJT8GQrjpkKfJHoa6WQYXAJM
2022-11-10	work	txt	Memo-그리핀던전 관련 시스템	10aVGm0bLKz6wgXR7-mEXr3O_RGu6GbMf
2022-11-11	work	docx	2-2 Oldtown [WIP - 1st Draft]_석완 스타일	10hTMAzxVQ1CPlRiYzqx5xz6yYInzrYcZ
2022-11-14	work	sheet	메모장 001	10aR6RH__WJ1Khan2vS2-l3xKrlMECmgPO5ItBOoRy0I
2022-11-17	work	pptx	에디터에서 45도 경사 표시	10pmE45Shz67c_-vECd37Jzjd2L4V5xkN
2022-11-17	work	pdf	뷰포트에서 45도 경사도 표시	10uct7PNOnvEaRQQMSSYldMlr8ZY0f5sn
2022-11-17	work	pptx	그리핀던전 기능개발	10wFrybYAbxhhJLk1wRbOj9QyYoWBJV-0
2022-11-17	report	docx	입사 10~12주차 수행 업무_손석완	10ygjXC5Vba1QogVf4bTcGejr78nmIq6w
2022-11-29	work	pptx	프로젝트T_기억의 제단_그리핀 던전_필요 기능 및 리소스_Backup	11C_U3Xg8ZoQEnzzQyVqp1zzk5PuRXTa4
2022-12-01	work	pptx	프로젝트T_기억의 제단_그리핀 던전_필요 기능 및 리소스_Backup2	11KzOOag5AUqTzxJuzZs149L8JfEx1oPv
2022-12-02	work	pptx	프로젝트T_기억의 제단_그리핀 던전_필요 기능 및 리소스_Backup3	11_uDcxZagz5PH85jaopi6WdARQbz3tTP
2022-12-12	work	pptx	스케치북 003	124Yyc0VQyQxLJHxU9rnCNxdrEGtqaGJr
2022-12-12	work	xlsx	버려진유적지 레벨 제안	124hf2cOKo3HMAbOYD6sDKbQpL4AFKiIP
2022-12-12	work	xlsx	버려진유적지 레벨 제안_2	1HvBEOY9GmquHtsLNMDUU6jtbHGwiZQ_a
2023-01-16	work	pptx	스케치북 - 최북단	129U6dUE_YJprKWu9fTS9ZMbja1NLERaX
2023-01-16	work	pptx	스케치북 - 최북단 (1)	1_JvS6saj2PyruzGpThVsHcb8oUrkI3pQ
2023-01-25	work	pptx	최북단 레벨디자인 기획서	12AC1n8u5AoJkqx0nw6a2mdpD6_Wn6kPH
2023-01-25	work	pptx	최북단 레벨디자인 기획서22	12BjQ88IJYPOlAuaPUF9MUaduYzdmG3RQ
2023-04-06	work	psd	Texture_South_Seokwan's Edit	1zxyOHMN4wvCPzs22tCaL_4KeV_OcgUFs
2023-05-18	work	pptx	스케치북 - 레벨기믹	13ezaVoqccJzGhPshzwFHCyxETomU0Js4
2023-07-19	work	xlsx	필요한문짝들	1Pv0J2fSvGl_RrsptyEaJRpmvsyiVx_bx
2023-07-19	work	sheet	필요한 문짝 리스트	1RXC42mndOOIUHjNa5Er7KMSM46NIVywpOzq3LhU8BPA
2023-08-17	work	pptx	파괴형 프랍을 기존 가젯시스템을 고수했을 때 필요한 고려사항	13KXk_j_iV0voBDgxmWOl-rNp2tkkGhCE
2023-10-24	work	xlsx	최북단 2.0지역 메모	1gRYRIH11iPZvmsIzeLxG69aBOdDbo6B_
2024-08-13	work	pptx	열쇠로 여는 문 시스템 제안서_2	1rme9rgEVZSjxnPioCoyF5SjW2Q1JuvwN
2026-04-29	work	appsscript	MCP Server	1NfQ1fpo9EOuv-x7yxa8UXO9khK4rii97IV2CIpi4en_q7Nn_B0Ykvz7N
