key	created	updated	type	status	role	assignee	reporter	labels	components	parent	summary
PROJECTT-7421	2022-08-31	2025-06-18	Story	DONE	현담당	seokwan	juna	특수지형이동	Design		[월드][레벨] 45도 이상의 경사 지형에 대한 PC 반응 구현
PROJECTT-7555	2022-09-13	2025-06-18	Sub-Task	DONE	보고자	jongjin	seokwan		Client	PROJECTT-7421	[월드][클라] 45도 이상의 지형에서 미끄러지는 기초 동작 구현
PROJECTT-7556	2022-09-13	2025-06-18	Sub-Task	DONE	보고자	dowan	seokwan	특수지형이동	Client	PROJECTT-7694	[월드][클라] Slide Volume 기능 구현
PROJECTT-7557	2022-09-13	2025-06-18	Sub-Task	DONE	보고자	gyeongjong	seokwan		Animation	PROJECTT-7421	[월드][애니] 경사로에서 미끄러지는 모션 제작
PROJECTT-7563	2022-09-14	2025-06-18	Sub-Task	DONE	보고자	taekyun	seokwan	특수지형이동		PROJECTT-7694	[월드][클라] 추락 후 경사로에 착지할 경우 구르기 동작 구현
PROJECTT-7564	2022-09-14	2025-06-18	Sub-Task	DONE	보고자	jongjin	seokwan	특수지형이동	Client	PROJECTT-7694	[월드][클라] 걷기 경사도 구현
PROJECTT-7597	2022-09-16	2025-06-18	Sub-Task	To Do	보고자	dowan	seokwan	특수지형이동	Client	PROJECTT-7694	[월드][클라] 45도 이상의 지형에서 미끄러지는 심화 동작 구현
PROJECTT-7694	2022-09-26	2025-06-18	Story	DONE	과거담당	bohyeon	juna	특수지형이동	Design		[월드][레벨] 45도 이상의 경사 지형에 대한 PC 반응 구현 - 후속 처리
PROJECTT-7758	2022-09-29	2025-06-18	Sub-Task	To Do	보고자	dowan	seokwan	특수지형이동	Client	PROJECTT-7694	[월드][클라] 45도 이상의 계단에 대한 예외 처리
PROJECTT-7809	2022-10-05	2025-06-18	Task	DONE	보고자	dowan	seokwan		Client		캐릭터의 현재 좌표 복사 및 붙여넣기 기능
PROJECTT-7913	2022-10-12	2025-06-18	Bug	DONE	보고자	joonhyung	seokwan	아트기반시스템	TA		[TA] 가끔씩 PC 옆에 반투명 그림자가 생기는 문제
PROJECTT-7986	2022-10-18	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	NPC_그리핀,기억의제단	Design	PROJECTT-8468	[레벨] 그리핀 던전 레벨 기획
PROJECTT-8098	2022-10-20	2025-06-18	Story	DONE	보고자	chanhyun	seokwan	콘텐츠기반	Design		[월드] 레벨 기믹을 위한 트리거 시스템 개발
PROJECTT-8132	2022-10-24	2025-06-18	Task	DONE	보고자	seungho.park	seokwan	아트기반시스템	Client		[월드][클라] 에디터에서 미끄러지기 경사도를 표시해주는 기능
PROJECTT-8468	2022-11-22	2025-06-18	Story	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단	Design		[던전] 기억의 제단 그리핀 던전 제작 #1
