change	date	client	desc
533359	2026/05/28	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @529215 / [손석완][레벨] 올드타운 세력은신처 보스존 이중사다리 삭제 후 일반 사다리로 대체 / https://jira.nmn.io/browse/QAGOTASIA-636 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @52
524179	2026/05/08	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @524174 / [손석완][레벨] 불필요 포인트 라이트 제거 ExecTCmd MOV 7185.150423 -767327.487935 7090.903846 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @524174
518763	2026/04/28	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @518762 / [손석완][레벨] 올드타운 버려진 유적지 끌차 끌고 턱 올라가지는 문제 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @518762
516904	2026/04/24	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @516903 / [손석완][레벨] 브워킵 프랍 들뜬 것들 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @516903
516352	2026/04/24	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @516347 / [손석완][레벨] 브워킵 지역 들뜬 프랍 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @516347
516314	2026/04/24	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @516313 / [손석완][레벨] 브워킵 지역 들뜬 프랍 붙이기 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @516313
516274	2026/04/24	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @516273 / [손석완][레벨] 올드타운 버유 02 수정 - 끌차 끌고 계단에 올라가지는 현상 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @516273
515857	2026/04/23	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @515853 / [손석완][레벨] 피직스 머티리얼 PM_Rock으로 수정 - 발소리가 Dirt로 나오는 문제 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @515853
515084	2026/04/23	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @515083 / [손석완][레벨] 최북단 2.0 버려진 유적지 도개교 사선 통제되게 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @515083
514247	2026/04/22	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @514208 / [손석완][레벨] 웜워크 입구 실내용 미니맵 볼륨 신설 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @514208
