start	end	status	title	ai_tools	util%	save%
2026-04-06	2026-04-10	completed	크로우즈네스트 소형 콘텐츠 배치 평면도 제작			
2026-04-06	2026-04-10	completed	사내 심화 테스트			
2026-04-14	2026-04-16	completed	스톰랜드 지역 위기의 성소 실내 에리어볼륨 추가			
2026-04-14	2026-04-21	completed	사내 심화 테스트			
2026-04-15	2026-04-15	completed	장벽너머 실내 테스트 진행			
2026-04-16	2026-04-17	completed	레벨기믹 관련 버그 처리 (PROJECTT-38875)			
2026-04-21	2026-04-21	completed	시타델 지역명 표시 버그 수정 (GOAT-4389)			
2026-04-21	2026-04-24	completed	필드 콘텐츠 컨셉 기획 - 점령된구역/위기의성소/연기나는오두막/버려진유적지	Gemini	75	40
2026-04-22	2026-04-22	completed	버그이슈 처리 (NNT-18969, GOAT-4737, GOAT-4537)			
2026-04-23	2026-04-23	completed	버그 이슈 처리 (GOAT-4973)			
2026-04-24	2026-04-24	completed	버그 이슈 처리 (GOAT-5068/5086/5103/5125)			
2026-04-24	2026-05-18	completed	챕터5 버려진 유적지 레벨디자인 #1			
2026-04-29	2026-04-29	completed	하렌홀의 비명 킥오프 회의 참석			
2026-05-04	2026-05-18	completed	챕터5 버려진 유적지 레벨디자인 #2			
2026-05-06	2026-05-06	completed	하렌홀의 비명 유관 부서 회의 참석			
2026-05-13	2026-05-18	completed	챕터5 버려진 유적지 레벨디자인 #3			
2026-05-18	2026-05-18	completed	[세력은신처] 쉐이디드 수도원 사다리 미노출 현상			
2026-05-18	2026-05-18	completed	[월드][레벨] 크로우즈네스트 점령된구역 그리핀스코브 동선 수정			
2026-05-18	2026-05-18	completed	[월드][레벨] 올드타운 올라가면 안 되는 지형 문제			
2026-05-18	2026-05-18	completed	[월드][레벨] 최북단 라스트허스 인근 소형컨텐츠 서신 획득 루트 개선			
2026-05-19	2026-05-22	completed	[레벨디자인] PC 클래스에 따라 상자에 도달하지 못하는 지점			
2026-05-20	2026-06-05	completed	5.2 넥 지역 평면도 제작 (PROJECTT-38151)			
2026-05-21	2026-05-22	completed	라이브 이슈 대응 (PROJECTT-40384/40425/40144)			
2026-05-21	2026-05-29	completed	UP01 크로우즈네스트 테스트 및 이슈 수정 (PROJECTT-40596~40609)			
2026-06-02	2026-06-05	completed	끌차 던지기 기믹 폴리싱 제안서 작성	Gemini	50	30
2026-06-05	2026-06-16	completed	챕터 5.2 필드 목업 1차 (메인 퀘스트 지역, PROJECTT-38152)	Meshy	50	30
2026-06-16	2026-07-22	completed	레벨기믹 엘리베이터 기획	Claude Code	50	30
2026-06-22	2026-07-02	completed	챕터 5.2 필드 목업 #2			
2026-07-02	2026-07-02	completed	레벨기믹 엘리베이터 구현방향성 논의	Claude Code	50	30
2026-07-06	2026-07-23	completed	[레벨디자인] 필드 목업 3차 - 주요 퀘스트 거점(성/마을, 적대 거점, 기타 퀘스트 공간)	Meshy, Claude Code	50	30
2026-07-28	2026-08-19	completed	심연의 제단 맘모스 레벨디자인	Claude Code, Gemini, Meshy	50	30
2026-07-31	2026-08-06	completed	하렌홀의 비명 레벨 조정			
2026-08-06	2026-08-07	completed	필드 내 목업용 액터 쿠킹 제외 처리			
2026-08-18	2026-08-27	completed	S2 버그 이슈 수정 (GOAT-9100 심연의제단 크라켄 3-4페이즈)			
2026-08-21	2026-08-27	completed	레벨기믹 사다리 중간 취소 기능 기획서			
2026-08-25	2026-08-27	completed	Shipmovement BP 값 조절	Claude Code	50	30
2026-08-27	2026-08-27	completed	미니맵 가이드 액터 데이터레이어 추가 후 정리			
2026-08-17	2026-08-18	in_progress	라이브 버그 이슈 처리 (PROJECTT-44449)			
2026-08-28	2026-09-18	in_progress	렛지 그랩 문제 지점 레벨 정리			
